id,eui,timestamp,data,humidity,batt,temperature
52748,3430363071377D14,2018/5/17 00:29:03,00cf001447,71,94,2
52761,3430363071377D14,2018/5/17 00:32:03,00cf001246,70,94,1.8
52775,3430363071377D14,2018/5/17 00:35:03,00cf001146,70,94,1.7
52785,3430363071377D14,2018/5/17 00:38:03,00cf001045,69,94,1.6
52798,3430363071377D14,2018/5/17 00:41:03,00cf000e45,69,94,1.4
52809,3430363071377D14,2018/5/17 00:44:03,00cf000d45,69,94,1.3
52821,3430363071377D14,2018/5/17 00:47:03,00cf000c45,69,94,1.2
52834,3430363071377D14,2018/5/17 00:50:03,00cf000c47,71,94,1.2
52846,3430363071377D14,2018/5/17 00:53:03,00cf00124f,79,94,1.8
52859,3430363071377D14,2018/5/17 00:56:03,00cf001754,84,94,2.3
52870,3430363071377D14,2018/5/17 00:59:03,00cf001a57,87,94,2.6
52884,3430363071377D14,2018/5/17 01:02:03,00ce001d5a,90,92,2.9
52896,3430363071377D14,2018/5/17 01:05:03,00cf00205b,91,94,3.2
52907,3430363071377D14,2018/5/17 01:08:03,00cf00225c,92,94,3.4
52919,3430363071377D14,2018/5/17 01:11:03,00cf00245d,93,94,3.6
52932,3430363071377D14,2018/5/17 01:14:03,00cf00265e,94,94,3.8
52945,3430363071377D14,2018/5/17 01:17:03,00cf00275e,94,94,3.9
52969,3430363071377D14,2018/5/17 01:23:03,00cf002a5f,95,94,4.2
52982,3430363071377D14,2018/5/17 01:26:03,00cf002b5f,95,94,4.3
52994,3430363071377D14,2018/5/17 01:29:03,00cf002c5f,95,94,4.4
53005,3430363071377D14,2018/5/17 01:32:03,00cf002d5f,95,94,4.5
53018,3430363071377D14,2018/5/17 01:35:03,00cf002e60,96,94,4.6
53031,3430363071377D14,2018/5/17 01:38:03,00cf003060,96,94,4.8
53044,3430363071377D14,2018/5/17 01:41:03,00cf003060,96,94,4.8
53056,3430363071377D14,2018/5/17 01:44:03,00cf003160,96,94,4.9
53070,3430363071377D14,2018/5/17 01:47:03,00d0003260,96,96,5
53082,3430363071377D14,2018/5/17 01:50:03,00cf003360,96,94,5.1
53095,3430363071377D14,2018/5/17 01:53:03,00d0003460,96,96,5.2
53107,3430363071377D14,2018/5/17 01:56:03,00cf003560,96,94,5.3
53119,3430363071377D14,2018/5/17 01:59:03,00cf003560,96,94,5.3
53132,3430363071377D14,2018/5/17 02:02:03,00d0003660,96,96,5.4
53155,3430363071377D14,2018/5/17 02:08:03,00d000355e,94,96,5.3
53168,3430363071377D14,2018/5/17 02:11:03,00cf002e5b,91,94,4.6
53180,3430363071377D14,2018/5/17 02:14:03,00d0002855,85,96,4
53192,3430363071377D14,2018/5/17 02:17:03,00d0002551,81,96,3.7
53206,3430363071377D14,2018/5/17 02:20:03,00d000224d,77,96,3.4
53217,3430363071377D14,2018/5/17 02:23:03,00d0001f4a,74,96,3.1
53230,3430363071377D14,2018/5/17 02:26:03,00cf001c48,72,94,2.8
53241,3430363071377D14,2018/5/17 02:29:03,00cf001a47,71,94,2.6
53255,3430363071377D14,2018/5/17 02:32:03,00d0001846,70,96,2.4
53268,3430363071377D14,2018/5/17 02:35:03,00cf001645,69,94,2.2
53279,3430363071377D14,2018/5/17 02:38:03,00cf001445,69,94,2
53293,3430363071377D14,2018/5/17 02:41:03,00cf001244,68,94,1.8
53305,3430363071377D14,2018/5/17 02:44:03,00cf001144,68,94,1.7
